,precision,recall,f1-score,support
BENIGN,0.49107142857142855,0.2864583333333333,0.3618421052631579,192.0
Bot,0.0,0.0,0.0,199.0
Brute Force,0.0,0.0,0.0,201.0
DDoS,0.018518518518518517,0.009900990099009901,0.012903225806451613,202.0
DoS,0.009708737864077669,0.010869565217391304,0.010256410256410256,184.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,204.0
Fuzzers,0.0,0.0,0.0,200.0
Generic,0.0,0.0,0.0,196.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,191.0
Reconnaissance,0.0,0.0,0.0,207.0
Shellcode,0.0,0.0,0.0,211.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,213.0
accuracy,0.024583333333333332,0.024583333333333332,0.024583333333333332,0.024583333333333332
macro avg,0.02077194739816099,0.012289155545989382,0.01540006965304079,2400.0
weighted avg,0.04158869283060221,0.024583333333333332,0.03081971471275376,2400.0
