,precision,recall,f1-score,support
BENIGN,0.6129032258064516,0.19,0.2900763358778626,200.0
Bot,0.0,0.0,0.0,211.0
Brute Force,0.034722222222222224,0.024390243902439025,0.02865329512893983,205.0
DDoS,0.0,0.0,0.0,176.0
DoS,0.0,0.0,0.0,198.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Infiltration,0.14354066985645933,0.14423076923076922,0.14388489208633093,208.0
MSSQL,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,201.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,201.0
accuracy,0.045625,0.045625,0.045625,0.045625
macro avg,0.04164032199395438,0.0188747901649057,0.02434813279437544,1600.0
weighted avg,0.09972197502936839,0.045625,0.05863578139435126,1600.0
