,precision,recall,f1-score,support
BENIGN,0.23529411764705882,0.0223463687150838,0.04081632653061224,179.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DoS,0.09090909090909091,0.016042780748663103,0.02727272727272727,187.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,192.0
Fuzzers,0.0,0.0,0.0,207.0
Generic,0.0,0.0,0.0,195.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,200.0
Shellcode,0.0,0.0,0.0,240.0
Syn,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.005,0.005,0.005,0.005
macro avg,0.013591800356506237,0.0015995478943227875,0.00283704390847248,1400.0
weighted avg,0.042226890756302524,0.005,0.008861516034985422,1400.0
