,precision,recall,f1-score,support
BENIGN,0.1524966261808367,0.6042780748663101,0.2435344827586207,187.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.15384615384615385,0.019417475728155338,0.034482758620689655,206.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_SSDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,194.0
Fuzzers,0.17647058823529413,0.03076923076923077,0.05240174672489083,195.0
Generic,0.2,0.0044444444444444444,0.008695652173913044,225.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,201.0
Shellcode,0.0,0.0,0.0,192.0
Syn,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.08857142857142856,0.08857142857142856,0.08857142857142856,0.08857142857142856
macro avg,0.03251492229820404,0.031376629800387655,0.016148316203719724,1400.0
weighted avg,0.09972924392429038,0.08857142857142856,0.046299470644434494,1400.0
