,precision,recall,f1-score,support
BENIGN,0.25,0.00909090909090909,0.017543859649122806,220.0
Bot,0.0,0.0,0.0,0.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.037037037037037035,0.004807692307692308,0.00851063829787234,208.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_LDAP,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,207.0
Fuzzers,0.0,0.0,0.0,168.0
Generic,0.0,0.0,0.0,204.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Port Scan,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,197.0
Shellcode,0.0,0.0,0.0,196.0
Syn,0.0,0.0,0.0,0.0
TFTP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
Web Attack,0.0,0.0,0.0,0.0
accuracy,0.002142857142857143,0.002142857142857143,0.002142857142857143,0.002142857142857143
macro avg,0.011481481481481481,0.000555944055944056,0.0010421799178798059,1400.0
weighted avg,0.04478835978835979,0.002142857142857143,0.004021329920546045,1400.0
