,precision,recall,f1-score,support
BENIGN,0.23501577287066247,0.7198067632850241,0.35434007134363854,207.0
Brute Force,0.0,0.0,0.0,0.0
DDoS,0.0,0.0,0.0,0.0
DoS,0.15789473684210525,0.030303030303030304,0.05084745762711865,198.0
DrDoS_DNS,0.0,0.0,0.0,0.0
DrDoS_MSSQL,0.0,0.0,0.0,0.0
DrDoS_NTP,0.0,0.0,0.0,0.0
DrDoS_NetBIOS,0.0,0.0,0.0,0.0
DrDoS_SNMP,0.0,0.0,0.0,0.0
DrDoS_UDP,0.0,0.0,0.0,0.0
Exploits,0.0,0.0,0.0,205.0
Fuzzers,0.0,0.0,0.0,202.0
Generic,0.4,0.010256410256410256,0.02,195.0
Infiltration,0.0,0.0,0.0,0.0
LDAP,0.0,0.0,0.0,0.0
MSSQL,0.0,0.0,0.0,0.0
NetBIOS,0.0,0.0,0.0,0.0
Reconnaissance,0.0,0.0,0.0,191.0
Shellcode,0.0,0.0,0.0,202.0
Syn,0.0,0.0,0.0,0.0
UDP,0.0,0.0,0.0,0.0
UDP-lag,0.0,0.0,0.0,0.0
accuracy,0.11214285714285714,0.11214285714285714,0.11214285714285714,0.11214285714285714
macro avg,0.03604138680512581,0.034562100174748395,0.019326705862307145,1400.0
weighted avg,0.11279387348497427,0.11214285714285714,0.062368708127359056,1400.0
